Name,Description,Website,Business Unit,Focus Area,Draft Opportunity Space,Original Taxonomy,Business Model Option,Friction Point,Business Models,Technologies ,Founded,Headcount,Country,Region,Funded,Funding Stage,Total Funding (USD),TRL,Maturity,Owner,Inc. Compass,Hero,Founded Score,Founded Weighting,Headcount Score,Headcount Weighting,Funding Score,Funding Weighting,TRL Score,TRL Weighting,Total Score,Result,Source
Sudo,"Payment card issuance platform for developers. Its API platform enables to issue of physical and virtual cards and allows businesses to control cards programmatically by building new features & securely integrating with other services. It features flexible usage control to prevent fraud by configuring spending limits, blocking business categories, enabling/disabling cash withdrawals, or blocking card usage and also provides the authorization of real-time transactions.",https://sudo.africa,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,Payments > Enablers > White Label Solutions > Payment Cards > Prepaid Cards,,2020,,Nigeria,Africa,Yes,Seed,"$3,700,000",,Nascent,,TRUE,FALSE,0.5,0.3,,0,0.2,0.7,,0,0.29,Nascent,TRACXN
Brij Money,"Online platform for remittance and forex services. It offers a solution that enables users to send and receive money globally. It provides multi-currency wallets, bill payments, business settlements, currency exchange, and more. The application is available on the iOS platform.",https://www.brij.money/,1. Payments,1.2. Easing of Remittances,1.2. Low-Cost Remittances Services,,,,"Digital Remittance > Internet First Platforms > Diversified,
 Forex Tech > Foreign Currency Services > Currency Exchanges > Internet-First Providers",,2020,,Kenya,Africa,Yes,Funding Raised,,,Emerging,,FALSE,FALSE,0.5,0.3,,0,0.7,0.7,,0,0.64,Emerging,TRACXN
0x,Open protocol for decentralized P2P exchange of assets. Provides 0x Instant which is a platform for buying crypto assets. Integrates token purchasing into products by offering digital assets ranging from in-game items to stable coins. Offers 0x Launch Kit for developers to launch a market for their project token. Users can create an in-game marketplace for digital items and collectables.,https://www.0x.org/,,,,,,,,,2016,0,United States of America,North America,Yes,Series B,"$85,000,000",,Emerging,,FALSE,FALSE,1,0.3,1,0,0.4,0.7,,0,0.58,Emerging,OLD PROJECT – IKEA
0xSplits,"Platform offering payment infrastructure for the crypto economy. It is a set of composable, open-source, and audited smart contracts that make it easy to split on-chain payments between multiple parties.",https://www.0xsplits.xyz/,1. Payments,1.2. Easing of Remittances,"1.2. Blockchain for Faster, More Secure Payments",,,,Cryptocurrencies > Financial Services > Payments > Business Payments > Online Payments,,2022,,United States of America,North America,Yes,Funding Raised,,,Emerging,,FALSE,FALSE,0.2,0.3,,0,0.7,0.7,,0,0.55,Emerging,TRACXN
1 Minute Payday,1 Minute Payday is an online payday loan company connecting borrowers to the company's lending partners. The loan amount can be up to $1000 and is available only for salaried employees. The application is online and the borrower is intimated in a minute if the loan is approved.,http://1minutepaydayloan.ca,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2013,,Canada,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
1-2-Pay,,https://1-2-pay.com,1. Payments,1.1. Contactless Payments,1.1. QR code Payments to reach the unbanked,,,,Payments > Business Payments > QR Code Payments,,2020,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
101 Digital,,https://www.101digital.io/,2. CC&C,2.4. Unifying the Customer Front,,Banking Channel Solutions,,,Banking Tech > Banking Channels > Omnichannel,,2018,,Singapore,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
121 Business Finance,"121BusinessFinance.com is an online marketplace for working capital loans. Offers short term loans for businesses for up to 90 days and Rs. 5 lakh. Types of loans include encashing discounts, loans for seasonal demands or special sales order, bridge financing, margin money, and bill discounting. Claims to use a proprietary platform to build credit profiles for businesses, assigns them 121 Score to establish credit limit by using RACE (Risk Assessment &amp; Credit Eligibility). Also does documentation, interest collection and monitors the loan using RADAR (Real Time Access &amp; Data Analysis Reporting). The lending process involves the KYC as per the RBI and international guidelines, online submission of documents by borrowers, and matching borrower requirements with lenders.",http://121businessfinance.com,2. CC&C,2.3. Embedded Lending,2.3. Working Capital Loans,Working Capital Loans,,,Alternative Lending > Online Lenders > Business Loans > Working Capital Loans > Marketplace,,2015,,India,Asia,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
123verifyinsurance,Insurance verification software for medical practitioners. It allows users to collect patient insurance information from the automated system and generate custom insurance coverage report with procedure costs. It uses state of the art software to deliver patients benefits report.,https://123verifyinsurance.com,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Claims Processing,,,Insurance IT > Insurance Policy Solutions > Claims Processing > Suite > Life & Health > Health,,2020,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
1hour,"1Hour is a mobile-based volunteer hiring platform. The platform allows users to create a profile by mentioning skills, search for volunteer opportunities by location & time, and apply for opportunities. It allows recruiters to post volunteer opportunities, and hire candidates. The product is available in the Google Play Store and the Apple App Store. The product is used by schools, nonprofits, institutions, etc.",http://1hour.life,,,,,,,,,2020,0,United Kingdom,Europe,No,Unfunded,$0.00,,Nascent,,FALSE,FALSE,0.5,0.3,1,0,0,0.7,,0,0.15,Nascent,OLD PROJECT – IKEA
1inch,"App-based exchange & swapping platform for cryptocurrency. It features a protocol that facilitates atomic transactions by utilizing a range of protocols and performing argument validation and execution verification. It provides an automated market maker that protects users from front-running attacks and offers capital efficiency to liquidity providers. It provides a platform for users to exchange and swap digital assets. The users can swap tokens using the platform. It supports various DEx platforms such as Radar Relay, Bancor, Kyber, Uniswap, Eth2Dai, and more.",https://1inch.io,,,,,,,,,2020,0,United Kingdom,Europe,Yes,Series B,"$189,800,000",,Emerging,,FALSE,FALSE,0.5,0.3,1,0,0.4,0.7,,0,0.43,Emerging,OLD PROJECT – IKEA
1insurer,"1insurer provides software-led solutions to insurers for policy, claims management and analytics. The 1insurer Suite operates in 8 of the top 10 global insurance markets across 4 continents. The 1insurer provides these products: 1insurer Suite, 1insurer Policy, 1insurer Claims and 1insurer Analytics to insurance industry.They have been acquired by Carlyle Group.",http://1insurer.com,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Policy Software,,,Insurance IT > Insurance Policy Solutions > Insurance Software Suite > Diversified,,2015,3,United Kingdom,Europe,No,Acquired,,,Mature,,TRUE,FALSE,1,0.3,1,0,1,0.7,,0,1,Mature,TRACXN
1kAdvance,"1kadvance is an online lending platform that provides its users with short term loans upto $1500. The platform provides its users with a network of lenders. Borrowers can expect APRs between 169% and 1,825%, which can be higher than traditional loan APRs.",http://1kadvance.com,2. CC&C,2.2. Digital Loan Servicing,,Internet First Microfinancing,,,Alternative Lending > Online Lenders > Consumer Loans > Micro Loans > Marketplace,,2018,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
203k Loan Denver,Online marketplace for payday loans,https://203kloandenver.com/,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2021,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
24/7 Loans,"24/7 Loans is a platform for short-term loans ranging from DKK 500 to DKK 10K, for periods between 61 to 120 days.  Users need to apply online, and get an instant decision, post which loan is funded to bank account/card in up to 24 hours. The APRs range between 759.79% to 3.197.74%. If the borrowers sign up for the debit card, loan is faster as well as cheaper.",http://xn--247ln-pra.dk,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Direct Lender,,2017,,Denmark,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
24MyCash,Online platform for payday loans,https://24mycash.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2020,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
